,FTR,HomeTeam,AwayTeam,FTHG,FTAG
138,H,M'gladbach,Hoffenheim,5,1
139,D,Mainz,Ein Frankfurt,2,2
140,H,Leverkusen,Freiburg,2,1
141,H,Dortmund,Hertha,2,1
142,D,Bielefeld,RB Leipzig,1,1
143,H,Augsburg,Greuther Furth,2,1
144,H,RB Leipzig,Augsburg,4,0
145,D,Bayern Munich,Stuttgart,2,2
146,D,Ein Frankfurt,M'gladbach,1,1
147,A,Hertha,Mainz,1,2
148,A,Hoffenheim,Leverkusen,2,4
149,A,Greuther Furth,Dortmund,1,3
150,A,Freiburg,Union Berlin,1,4
151,A,FC Koln,Wolfsburg,0,1
152,H,Bochum,Bielefeld,2,1
153,H,M'gladbach,RB Leipzig,3,1
154,H,Leverkusen,Ein Frankfurt,2,0
155,A,Hoffenheim,Freiburg,3,4
156,D,Stuttgart,Wolfsburg,1,1
157,H,Mainz,Bayern Munich,3,1
158,A,Dortmund,Bochum,3,4
159,D,Bielefeld,Hertha,1,1
160,A,Augsburg,FC Koln,1,4
161,D,Union Berlin,Greuther Furth,1,1
162,H,Hertha,Stuttgart,2,0
163,A,Bochum,Augsburg,0,2
164,H,Bayern Munich,Dortmund,3,1
165,A,RB Leipzig,Union Berlin,1,2
166,A,Greuther Furth,Leverkusen,1,4
167,D,Freiburg,M'gladbach,3,3
168,H,FC Koln,Bielefeld,3,1
169,D,Ein Frankfurt,Hoffenheim,2,2
170,H,Wolfsburg,Mainz,5,0
171,A,Leverkusen,RB Leipzig,0,1
172,H,Union Berlin,Ein Frankfurt,2,0
173,D,Hoffenheim,Greuther Furth,0,0
174,A,Bielefeld,Bayern Munich,0,3
175,A,M'gladbach,FC Koln,1,3
176,D,Mainz,Stuttgart,0,0
177,H,Freiburg,Bochum,3,0
178,H,Dortmund,Wolfsburg,6,1
179,A,Augsburg,Hertha,0,1
180,H,RB Leipzig,Hoffenheim,3,0
181,A,Ein Frankfurt,Freiburg,1,2
182,D,Bochum,Leverkusen,0,0
183,A,Hertha,Union Berlin,1,4
184,H,Wolfsburg,Bielefeld,4,0
185,A,Greuther Furth,M'gladbach,0,2
186,H,FC Koln,Mainz,3,2
187,H,Bayern Munich,Augsburg,1,0
188,A,Stuttgart,Dortmund,0,2
189,H,Augsburg,Mainz,2,1
190,D,M'gladbach,Mainz,1,1
191,H,Augsburg,Wolfsburg,3,0
192,A,Dortmund,RB Leipzig,1,4
193,H,Leverkusen,Hertha,2,1
194,A,Hoffenheim,Bochum,1,2
195,A,Freiburg,Bayern Munich,1,4
196,D,Ein Frankfurt,Greuther Furth,0,0
197,D,Bielefeld,Stuttgart,1,1
198,H,Union Berlin,FC Koln,1,0
199,D,FC Koln,Dortmund,1,1
200,A,Wolfsburg,Leverkusen,0,2
201,D,RB Leipzig,Ein Frankfurt,0,0
202,H,Bayern Munich,Union Berlin,4,0
203,H,Stuttgart,Augsburg,3,2
204,H,Mainz,Bielefeld,4,0
205,H,Hertha,Hoffenheim,3,0
206,D,Greuther Furth,Freiburg,0,0
207,A,Bochum,M'gladbach,0,2
208,A,Mainz,Dortmund,0,1
209,A,Greuther Furth,RB Leipzig,1,6
210,H,Ein Frankfurt,Bochum,2,1
211,H,Dortmund,Bielefeld,1,0
212,A,Leverkusen,FC Koln,0,1
213,H,M'gladbach,Hertha,2,0
214,D,Union Berlin,Stuttgart,1,1
215,D,Hoffenheim,Bayern Munich,1,1
216,H,Freiburg,Wolfsburg,3,2
217,A,FC Koln,Hoffenheim,0,1
218,H,Stuttgart,M'gladbach,3,2
219,H,Wolfsburg,Union Berlin,1,0
220,D,RB Leipzig,Freiburg,1,1
221,A,Hertha,Ein Frankfurt,1,4
222,H,Bochum,Greuther Furth,2,1
223,D,Bayern Munich,Leverkusen,1,1
224,A,Bielefeld,Augsburg,0,1
225,D,Augsburg,Dortmund,1,1
226,A,Bochum,RB Leipzig,0,1
227,A,Ein Frankfurt,Bayern Munich,0,1
228,H,Union Berlin,Mainz,3,1
229,D,M'gladbach,Wolfsburg,2,2
230,H,Leverkusen,Bielefeld,3,0
231,D,Greuther Furth,FC Koln,1,1
232,H,Freiburg,Hertha,3,0
233,H,Hoffenheim,Stuttgart,2,1
234,A,Hertha,RB Leipzig,1,6
235,H,Dortmund,M'gladbach,6,0
236,H,Bayern Munich,Greuther Furth,4,1
