,FTR,HomeTeam,AwayTeam,FTHG,FTAG
165,D,Osasuna,Getafe,1,1
166,H,Alaves,Espanol,2,1
167,H,Barcelona,Celta,3,1
168,H,Granada,Ath Bilbao,1,0
169,A,Valencia,Betis,0,3
170,H,Ath Madrid,Real Madrid,1,0
171,D,Espanol,Osasuna,1,1
172,D,Villarreal,Sevilla,1,1
173,D,Getafe,Vallecano,0,0
174,A,Betis,Barcelona,1,2
175,H,Celta,Alaves,4,0
176,H,Cadiz,Elche,3,0
177,D,Ath Bilbao,Valencia,0,0
178,A,Mallorca,Granada,2,6
179,H,Levante,Sociedad,2,1
180,D,Getafe,Betis,0,0
181,H,Barcelona,Mallorca,2,1
182,D,Vallecano,Sociedad,1,1
183,D,Granada,Celta,1,1
184,D,Elche,Osasuna,1,1
185,H,Ath Bilbao,Ath Madrid,2,0
186,D,Valencia,Levante,1,1
187,H,Real Madrid,Espanol,4,0
188,H,Alaves,Villarreal,2,1
189,D,Sevilla,Cadiz,1,1
190,A,Barcelona,Vallecano,0,1
191,A,Sociedad,Barcelona,0,1
192,A,Cadiz,Ath Bilbao,2,3
193,A,Levante,Sevilla,2,3
194,A,Espanol,Vallecano,0,1
195,A,Osasuna,Real Madrid,1,3
196,A,Celta,Getafe,0,2
197,D,Ath Madrid,Granada,0,0
198,H,Villarreal,Valencia,2,0
199,A,Betis,Elche,0,1
200,H,Mallorca,Alaves,2,1
201,A,Barcelona,Cadiz,0,1
202,A,Sevilla,Real Madrid,2,3
203,A,Ath Bilbao,Celta,0,2
204,H,Ath Madrid,Espanol,2,1
205,A,Granada,Levante,1,4
206,A,Getafe,Villarreal,1,2
207,A,Valencia,Osasuna,1,2
208,H,Alaves,Vallecano,1,0
209,H,Elche,Mallorca,3,0
210,D,Sociedad,Betis,0,0
211,D,Vallecano,Valencia,1,1
212,A,Levante,Barcelona,2,3
213,A,Elche,Sociedad,1,2
214,H,Espanol,Celta,1,0
215,H,Osasuna,Alaves,1,0
216,H,Real Madrid,Getafe,2,0
217,D,Villarreal,Ath Bilbao,1,1
