,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
1467,0,0,1,1,0,Huesca,Ath Madrid,2.23,1.66,0.6260869565217392,2.168674698795181,5,9,1,1,3,4,1,0,0,0,2
1468,0,0,1,1,0,Celta,Valencia,2.14,1.71,1.032258064516129,1.3333333333333335,4,7,0,1,4,2,2,1,0,2,3
1469,1,0,0,1,0,Getafe,Alaves,2.74,1.44,1.55,0.6888888888888889,9,4,3,1,1,2,2,1,2,1,1
1470,1,0,0,1,0,Sociedad,Espanol,2.26,1.64,1.65,0.825,6,4,2,0,3,1,0,4,2,2,1
1471,0,0,1,1,0,Betis,Real Madrid,1.62,2.28,1.1538461538461537,1.7857142857142856,8,6,2,1,2,3,1,1,1,0,4
1472,1,0,0,1,0,Barcelona,Eibar,1.24,3.61,8.035714285714285,0.42857142857142855,16,6,5,0,0,0,4,1,5,0,0
1473,1,0,0,0,1,Ath Madrid,Levante,1.64,2.26,4.8,0.5,9,7,4,1,0,0,2,3,4,0,1
1474,1,0,0,0,1,Ath Bilbao,Sevilla,2.03,1.79,1.1636363636363638,1.1851851851851851,6,5,3,2,0,1,3,1,3,0,2
1475,0,0,1,1,0,Villarreal,Getafe,2.26,1.64,1.4418604651162792,0.8157894736842106,7,6,0,3,2,2,2,1,2,0,3
1476,0,1,0,0,1,Valencia,Valladolid,2.0,1.82,2.6143790849673203,0.5714285714285714,6,6,1,3,1,1,2,2,1,4,0
1477,1,0,0,0,1,Leganes,Huesca,2.44,1.55,1.6666666666666667,0.7505773672055427,3,5,1,3,1,1,1,3,1,0,0
1478,0,1,0,0,1,Girona,Alaves,2.51,1.52,1.4761904761904763,0.775,4,4,0,3,2,2,2,1,1,1,1
1479,1,0,0,1,0,Vallecano,Celta,2.14,1.71,1.3599999999999999,1.2142857142857144,7,6,3,0,2,1,1,3,3,0,2
1480,0,0,1,1,0,Celta,Ath Bilbao,1.99,1.81,1.375,1.0999999999999999,6,4,2,1,2,2,2,1,1,1,3
1481,0,1,0,0,1,Sevilla,Ath Madrid,2.26,1.63,1.1071428571428572,1.1481481481481481,6,9,1,4,0,3,2,0,1,1,3
1482,0,0,1,0,1,Real Madrid,Sociedad,1.43,2.75,4.511278195488722,0.8,6,3,3,1,1,1,0,4,4,0,1
1483,0,0,1,1,0,Getafe,Barcelona,1.54,2.43,0.65625,3.8602941176470584,7,15,2,2,1,5,0,0,0,1,4
1484,0,1,0,0,1,Eibar,Villarreal,1.87,1.93,1.5476190476190474,0.9285714285714286,6,6,0,4,1,0,3,2,3,1,1
1485,0,0,1,0,1,Valladolid,Vallecano,2.04,1.77,1.6190476190476188,0.9444444444444444,7,4,1,1,3,3,0,2,3,1,1
1486,1,0,0,1,0,Huesca,Betis,1.88,1.92,1.09375,1.5909090909090908,5,8,1,1,3,3,1,1,1,0,0
1487,1,0,0,1,0,Alaves,Valencia,2.41,1.56,1.0,1.2916666666666667,4,5,2,2,1,1,2,2,2,0,3
1488,0,1,0,1,0,Levante,Girona,1.71,2.14,1.627906976744186,1.0606060606060606,10,4,1,2,2,0,3,2,0,2,1
1489,1,0,0,0,1,Espanol,Leganes,2.52,1.52,1.65,0.7857142857142856,2,6,1,0,4,1,3,1,3,0,2
1490,0,1,0,1,0,Villarreal,Real Madrid,1.54,2.44,1.0,2.054054054054054,8,6,1,2,2,3,1,1,1,3,1
1491,1,0,0,1,0,Vallecano,Levante,1.63,2.26,1.7142857142857142,1.0588235294117647,3,10,2,0,3,1,2,2,4,0,1
1492,1,0,0,1,0,Valencia,Huesca,1.73,2.09,3.3928571428571432,0.59375,7,5,2,2,1,0,2,3,1,0,0
1493,0,1,0,0,1,Leganes,Sevilla,2.1,1.73,0.9411764705882354,1.4222222222222223,7,6,2,3,0,2,3,0,1,2,2
1494,0,1,0,0,1,Betis,Eibar,1.78,2.04,2.0833333333333335,0.8333333333333334,8,9,3,1,1,1,3,1,2,1,2
1495,1,0,0,0,1,Barcelona,Celta,1.17,4.74,8.035714285714285,0.42857142857142855,14,6,4,1,0,2,1,2,2,2,1
1496,1,0,0,0,1,Ath Madrid,Espanol,2.25,1.64,2.857142857142857,0.4,9,2,3,2,0,0,0,5,2,1,2
1497,0,1,0,0,1,Ath Bilbao,Valladolid,2.17,1.68,1.9428571428571428,0.6799999999999999,3,7,1,3,1,1,1,3,3,2,0
1498,0,0,1,0,1,Sociedad,Alaves,2.22,1.66,2.0,0.7,3,2,1,0,4,1,2,2,3,0,2
1499,0,1,0,0,1,Girona,Getafe,2.6,1.49,1.1450381679389312,1.0344827586206897,5,7,1,2,2,2,3,0,1,2,0
1500,0,1,0,0,1,Alaves,Ath Bilbao,2.29,1.61,1.0666666666666667,1.28,3,4,1,2,2,1,2,2,2,2,1
1501,1,0,0,0,1,Sevilla,Girona,1.62,2.29,3.125,0.6428571428571429,7,4,3,2,0,1,2,2,3,0,0
1502,0,0,1,1,0,Levante,Barcelona,1.26,3.74,0.7222222222222222,5.2,10,15,1,2,2,3,1,1,1,0,4
1503,0,1,0,1,0,Huesca,Villarreal,1.91,1.88,0.9142857142857144,1.4953271028037383,5,8,0,2,3,1,2,2,0,1,0
1504,0,0,1,1,0,Espanol,Betis,1.96,1.84,1.375,1.0999999999999999,3,11,0,0,5,4,0,1,3,0,2
1505,0,0,1,1,0,Valladolid,Ath Madrid,2.48,1.52,0.591304347826087,1.9767441860465116,6,11,1,1,3,3,2,0,0,0,5
1506,1,0,0,0,1,Real Madrid,Vallecano,1.23,3.95,7.894736842105264,0.6,8,3,4,0,1,1,1,3,5,0,0
1507,1,0,0,0,1,Getafe,Sociedad,2.56,1.49,1.3777777777777778,0.8857142857142858,6,6,2,2,1,2,0,3,4,1,0
1508,0,1,0,0,1,Eibar,Valencia,2.1,1.73,1.1851851851851851,1.1851851851851851,8,6,1,3,1,2,2,1,3,2,0
1509,0,1,0,0,1,Celta,Leganes,2.23,1.65,1.8918918918918919,0.8083140877598153,8,6,2,1,2,2,3,0,2,1,2
1510,1,0,0,0,1,Ath Bilbao,Girona,2.14,1.7,1.7435897435897436,0.85,4,5,1,1,3,2,2,1,2,0,1
1511,0,0,1,1,0,Sociedad,Valladolid,2.15,1.69,2.2360248447204967,0.5538461538461539,6,4,2,1,2,1,1,3,2,2,1
