,FTR,HomeTeam,AwayTeam,FTHG,FTAG
207,D,Lazio,Torino,1.0,1.0
208,D,Juventus,Bologna,1.0,1.0
209,H,Fiorentina,Venezia,1.0,0.0
210,H,Udinese,Empoli,4.0,1.0
211,A,Sampdoria,Salernitana,1.0,2.0
212,H,Cagliari,Sassuolo,1.0,0.0
213,H,Milan,Genoa,2.0,0.0
214,A,Spezia,Inter,1.0,3.0
215,H,Bologna,Sampdoria,2.0,0.0
216,D,Torino,Milan,0.0,0.0
217,H,Roma,Salernitana,2.0,1.0
218,A,Venezia,Udinese,1.0,2.0
219,H,Sassuolo,Atalanta,2.0,1.0
220,A,Napoli,Fiorentina,2.0,3.0
221,A,Genoa,Lazio,1.0,4.0
222,A,Cagliari,Juventus,1.0,2.0
223,H,Inter,Verona,2.0,0.0
224,D,Empoli,Spezia,0.0,0.0
225,D,Milan,Bologna,0.0,0.0
226,H,Verona,Genoa,1.0,0.0
227,A,Juventus,Inter,0.0,1.0
228,A,Sampdoria,Roma,0.0,1.0
229,H,Udinese,Cagliari,5.0,1.0
230,A,Atalanta,Napoli,1.0,3.0
231,H,Fiorentina,Empoli,1.0,0.0
232,A,Salernitana,Torino,0.0,1.0
233,H,Lazio,Sassuolo,2.0,1.0
234,H,Spezia,Venezia,1.0,0.0
235,A,Bologna,Atalanta,0.0,1.0
236,H,Roma,Lazio,3.0,0.0
237,H,Juventus,Salernitana,2.0,0.0
238,D,Empoli,Verona,1.0,1.0
239,A,Venezia,Sampdoria,0.0,2.0
240,A,Cagliari,Milan,0.0,1.0
241,D,Inter,Fiorentina,1.0,1.0
242,H,Napoli,Udinese,2.0,1.0
243,H,Genoa,Torino,1.0,0.0
244,H,Sassuolo,Spezia,4.0,1.0
245,H,Lazio,Venezia,1.0,0.0
246,D,Torino,Inter,1.0,1.0
247,D,Udinese,Roma,1.0,1.0
248,D,Atalanta,Genoa,0.0,0.0
249,A,Verona,Napoli,1.0,2.0
250,H,Fiorentina,Bologna,1.0,0.0
251,H,Milan,Empoli,1.0,0.0
252,A,Sampdoria,Juventus,1.0,3.0
253,H,Spezia,Cagliari,2.0,0.0
254,D,Salernitana,Sassuolo,2.0,2.0
255,A,Napoli,Milan,0.0,1.0
256,H,Juventus,Spezia,1.0,0.0
257,A,Venezia,Sassuolo,1.0,4.0
258,D,Fiorentina,Verona,1.0,1.0
259,D,Bologna,Torino,0.0,0.0
260,D,Genoa,Empoli,0.0,0.0
261,A,Cagliari,Lazio,0.0,3.0
262,H,Roma,Atalanta,1.0,0.0
263,H,Udinese,Sampdoria,2.0,1.0
264,H,Inter,Salernitana,5.0,0.0
265,H,Atalanta,Sampdoria,4.0,0.0
266,A,Lazio,Napoli,1.0,2.0
267,A,Spezia,Roma,0.0,1.0
268,H,Verona,Venezia,3.0,1.0
269,A,Torino,Cagliari,1.0,2.0
270,H,Sassuolo,Fiorentina,2.0,1.0
271,A,Empoli,Juventus,2.0,3.0
272,D,Salernitana,Bologna,1.0,1.0
273,D,Genoa,Inter,0.0,0.0
274,D,Milan,Udinese,1.0,1.0
275,H,Bologna,Spezia,2.0,1.0
276,D,Cagliari,Napoli,1.0,1.0
277,D,Udinese,Lazio,1.0,1.0
278,A,Inter,Sassuolo,0.0,2.0
279,D,Venezia,Genoa,1.0,1.0
280,H,Fiorentina,Atalanta,1.0,0.0
281,D,Salernitana,Milan,2.0,2.0
282,D,Roma,Verona,2.0,2.0
283,H,Sampdoria,Empoli,2.0,0.0
284,D,Juventus,Torino,1.0,1.0
285,A,Spezia,Fiorentina,1.0,2.0
286,D,Atalanta,Juventus,1.0,1.0
287,D,Sassuolo,Roma,2.0,2.0
288,H,Verona,Udinese,4.0,0.0
289,D,Genoa,Salernitana,1.0,1.0
290,D,Empoli,Cagliari,1.0,1.0
291,H,Milan,Sampdoria,1.0,0.0
292,A,Torino,Venezia,1.0,2.0
293,D,Napoli,Inter,1.0,1.0
294,H,Lazio,Bologna,3.0,0.0
295,D,Salernitana,Spezia,2.0,2.0
296,H,Juventus,Verona,2.0,0.0
297,H,Udinese,Torino,2.0,0.0
298,A,Venezia,Napoli,0.0,2.0
299,H,Sampdoria,Sassuolo,4.0,0.0
300,D,Bologna,Empoli,0.0,0.0
301,A,Atalanta,Cagliari,1.0,2.0
302,A,Fiorentina,Lazio,0.0,3.0
303,A,Inter,Milan,1.0,2.0
304,D,Roma,Genoa,0.0,0.0
305,D,Milan,Juventus,0.0,0.0
306,A,Empoli,Roma,2.0,4.0
307,D,Torino,Sassuolo,1.0,1.0
308,H,Spezia,Sampdoria,1.0,0.0
309,H,Napoli,Salernitana,4.0,1.0
310,D,Cagliari,Fiorentina,1.0,1.0
311,D,Lazio,Atalanta,0.0,0.0
312,H,Inter,Venezia,2.0,1.0
313,D,Genoa,Udinese,0.0,0.0
314,H,Verona,Bologna,2.0,1.0
315,H,Fiorentina,Genoa,6.0,0.0
316,A,Milan,Spezia,1.0,2.0
317,A,Bologna,Napoli,0.0,2.0
318,D,Atalanta,Inter,0.0,0.0
319,H,Roma,Cagliari,1.0,0.0
320,D,Venezia,Empoli,1.0,1.0
321,A,Sassuolo,Verona,2.0,4.0
322,H,Juventus,Udinese,2.0,0.0
323,A,Salernitana,Lazio,0.0,3.0
324,A,Sampdoria,Torino,1.0,2.0
325,H,Cagliari,Bologna,2.0,1.0
326,H,Torino,Fiorentina,4.0,0.0
327,A,Verona,Salernitana,1.0,2.0
328,H,Inter,Lazio,2.0,1.0
329,A,Roma,Juventus,3.0,4.0
330,A,Genoa,Spezia,0.0,1.0
331,A,Udinese,Atalanta,2.0,6.0
332,H,Napoli,Sampdoria,1.0,0.0
333,A,Venezia,Milan,0.0,3.0
334,A,Empoli,Sassuolo,1.0,5.0
335,D,Juventus,Napoli,1.0,1.0
336,H,Milan,Roma,3.0,1.0
337,D,Sassuolo,Genoa,1.0,1.0
338,A,Spezia,Verona,1.0,2.0
339,D,Lazio,Empoli,3.0,3.0
340,A,Sampdoria,Cagliari,1.0,2.0
341,A,Napoli,Spezia,0.0,1.0
342,A,Empoli,Milan,2.0,4.0
343,D,Verona,Fiorentina,1.0,1.0
344,D,Roma,Sampdoria,1.0,1.0
345,H,Inter,Torino,1.0,0.0
346,A,Venezia,Lazio,1.0,3.0
347,A,Sassuolo,Bologna,0.0,3.0
348,H,Juventus,Cagliari,2.0,0.0
349,D,Genoa,Atalanta,0.0,0.0
350,A,Milan,Napoli,0.0,1.0
351,H,Torino,Verona,1.0,0.0
352,D,Sampdoria,Venezia,1.0,1.0
353,D,Spezia,Empoli,1.0,1.0
354,D,Fiorentina,Sassuolo,2.0,2.0
355,A,Cagliari,Udinese,0.0,4.0
356,A,Bologna,Juventus,0.0,2.0
357,A,Atalanta,Roma,1.0,4.0
358,A,Salernitana,Inter,0.0,5.0
359,H,Lazio,Genoa,3.0,1.0
360,H,Roma,Spezia,2.0,0.0
361,H,Inter,Cagliari,4.0,0.0
362,H,Sassuolo,Lazio,2.0,1.0
363,A,Napoli,Empoli,0.0,1.0
364,A,Verona,Atalanta,1.0,2.0
365,H,Torino,Bologna,2.0,1.0
366,D,Udinese,Milan,1.0,1.0
367,D,Venezia,Juventus,1.0,1.0
368,H,Fiorentina,Salernitana,4.0,0.0
369,A,Genoa,Sampdoria,1.0,3.0
370,D,Cagliari,Torino,1.0,1.0
371,H,Empoli,Udinese,3.0,1.0
372,H,Juventus,Genoa,2.0,0.0
373,A,Sampdoria,Lazio,1.0,3.0
374,A,Venezia,Verona,3.0,4.0
375,D,Spezia,Sassuolo,2.0,2.0
376,A,Bologna,Fiorentina,2.0,3.0
377,A,Napoli,Atalanta,2.0,3.0
378,A,Roma,Inter,0.0,3.0
379,H,Milan,Salernitana,2.0,0.0
380,D,Lazio,Udinese,4.0,4.0
381,D,Torino,Empoli,2.0,2.0
382,D,Sassuolo,Napoli,2.0,2.0
383,A,Genoa,Milan,0.0,3.0
384,H,Inter,Spezia,2.0,0.0
385,H,Bologna,Roma,1.0,0.0
386,D,Verona,Cagliari,0.0,0.0
387,A,Salernitana,Juventus,0.0,2.0
388,H,Fiorentina,Sampdoria,3.0,1.0
389,H,Atalanta,Venezia,4.0,0.0
390,H,Napoli,Lazio,4.0,0.0
391,H,Roma,Torino,1.0,0.0
392,A,Spezia,Bologna,0.0,1.0
393,A,Milan,Sassuolo,1.0,3.0
394,D,Udinese,Genoa,0.0,0.0
395,A,Venezia,Inter,0.0,2.0
396,A,Juventus,Atalanta,0.0,1.0
397,H,Sampdoria,Verona,3.0,1.0
398,H,Empoli,Fiorentina,2.0,1.0
399,D,Cagliari,Salernitana,1.0,1.0
400,H,Torino,Udinese,2.0,1.0
401,H,Verona,Empoli,2.0,1.0
402,A,Genoa,Roma,0.0,2.0
403,H,Inter,Napoli,3.0,2.0
404,A,Salernitana,Sampdoria,0.0,2.0
405,A,Bologna,Venezia,0.0,1.0
406,D,Sassuolo,Cagliari,2.0,2.0
407,H,Fiorentina,Milan,4.0,3.0
408,A,Lazio,Juventus,0.0,2.0
409,H,Atalanta,Spezia,5.0,2.0
410,D,Milan,Inter,1.0,1.0
411,D,Napoli,Verona,1.0,1.0
412,H,Lazio,Salernitana,3.0,0.0
413,H,Udinese,Sassuolo,3.0,2.0
414,A,Sampdoria,Bologna,1.0,2.0
415,H,Venezia,Roma,3.0,2.0
416,A,Cagliari,Atalanta,1.0,2.0
417,H,Juventus,Fiorentina,1.0,0.0
418,H,Spezia,Torino,1.0,0.0
419,D,Empoli,Genoa,2.0,2.0
420,H,Bologna,Cagliari,2.0,0.0
421,A,Roma,Milan,1.0,2.0
422,A,Salernitana,Napoli,0.0,1.0
423,A,Sassuolo,Empoli,1.0,2.0
424,D,Genoa,Venezia,0.0,0.0
425,H,Fiorentina,Spezia,3.0,0.0
426,H,Inter,Udinese,2.0,0.0
427,H,Torino,Sampdoria,3.0,0.0
428,H,Verona,Juventus,2.0,1.0
429,D,Atalanta,Lazio,2.0,2.0
430,H,Napoli,Bologna,3.0,0.0
431,H,Lazio,Fiorentina,1.0,0.0
432,A,Empoli,Inter,0.0,2.0
433,A,Cagliari,Roma,1.0,2.0
434,D,Udinese,Verona,1.0,1.0
435,A,Sampdoria,Atalanta,1.0,3.0
436,A,Juventus,Sassuolo,1.0,2.0
437,H,Milan,Torino,1.0,0.0
438,A,Venezia,Salernitana,1.0,2.0
439,D,Spezia,Genoa,1.0,1.0
440,D,Inter,Juventus,1.0,1.0
441,D,Roma,Napoli,0.0,0.0
442,H,Verona,Lazio,4.0,1.0
443,H,Fiorentina,Cagliari,3.0,0.0
444,D,Atalanta,Udinese,1.0,1.0
445,A,Bologna,Milan,2.0,4.0
446,H,Sassuolo,Venezia,3.0,1.0
447,A,Salernitana,Empoli,2.0,4.0
448,H,Sampdoria,Spezia,2.0,1.0
449,H,Torino,Genoa,3.0,2.0
450,H,Venezia,Fiorentina,1.0,0.0
451,H,Juventus,Roma,1.0,0.0
452,H,Napoli,Torino,1.0,0.0
453,D,Udinese,Bologna,1.0,1.0
454,D,Genoa,Sassuolo,2.0,2.0
455,A,Empoli,Atalanta,1.0,4.0
456,H,Cagliari,Sampdoria,3.0,1.0
457,H,Milan,Verona,3.0,2.0
458,H,Lazio,Inter,3.0,1.0
459,H,Spezia,Salernitana,2.0,1.0
460,A,Atalanta,Milan,2.0,3.0
461,H,Roma,Empoli,2.0,0.0
462,A,Fiorentina,Napoli,1.0,2.0
463,H,Verona,Spezia,4.0,0.0
464,D,Sampdoria,Udinese,3.0,3.0
465,H,Bologna,Lazio,3.0,0.0
466,A,Sassuolo,Inter,1.0,2.0
467,A,Torino,Juventus,0.0,1.0
468,H,Salernitana,Genoa,1.0,0.0
469,D,Cagliari,Venezia,1.0,1.0
470,D,Venezia,Torino,1.0,1.0
471,H,Napoli,Cagliari,2.0,0.0
472,H,Lazio,Roma,3.0,2.0
473,A,Udinese,Fiorentina,0.0,1.0
474,H,Sassuolo,Salernitana,1.0,0.0
475,H,Empoli,Bologna,4.0,2.0
476,H,Juventus,Sampdoria,3.0,2.0
477,D,Genoa,Verona,3.0,3.0
478,D,Inter,Atalanta,2.0,2.0
479,A,Spezia,Milan,1.0,2.0
480,H,Roma,Udinese,1.0,0.0
481,D,Torino,Lazio,1.0,1.0
482,A,Sampdoria,Napoli,0.0,4.0
483,H,Milan,Venezia,2.0,0.0
484,A,Cagliari,Empoli,0.0,2.0
485,A,Spezia,Juventus,2.0,3.0
486,D,Salernitana,Verona,2.0,2.0
487,A,Fiorentina,Inter,1.0,3.0
488,H,Atalanta,Sassuolo,2.0,1.0
489,D,Bologna,Genoa,2.0,2.0
490,A,Udinese,Napoli,0.0,4.0
491,D,Juventus,Milan,1.0,1.0
492,H,Verona,Roma,3.0,2.0
493,D,Lazio,Cagliari,2.0,2.0
494,A,Venezia,Spezia,1.0,2.0
495,A,Empoli,Sampdoria,0.0,3.0
496,A,Salernitana,Atalanta,0.0,1.0
497,H,Inter,Bologna,6.0,1.0
498,A,Genoa,Fiorentina,1.0,2.0
499,A,Sassuolo,Torino,0.0,1.0
500,H,Bologna,Verona,1.0,0.0
