,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
812,0,0,1,1,0,Mainz,RB Leipzig,1.44,2.75,0.6923076923076923,3.125,5,12,1,2,2,2,3,0,1,1,3
813,0,0,1,1,0,Schalke 04,Augsburg,1.9,1.9,1.75,0.9722222222222222,1,6,0,1,4,1,0,4,2,2,1
814,1,0,0,1,0,Bayern Munich,Ein Frankfurt,1.25,4.0,6.4655172413793105,0.5769230769230769,18,4,5,0,0,0,0,5,4,0,1
815,0,0,1,0,1,Wolfsburg,Dortmund,1.66,2.2,0.9523809523809523,2.3255813953488373,8,11,2,2,1,5,0,0,0,1,4
816,0,1,0,0,1,Paderborn,Hoffenheim,1.57,2.37,1.225806451612903,1.8095238095238093,4,3,0,2,3,0,3,2,0,2,2
817,0,0,1,1,0,M'gladbach,Leverkusen,1.5,2.62,1.6304347826086958,1.3636363636363635,10,14,3,0,2,4,1,0,3,0,2
818,0,0,1,0,1,Freiburg,Werder Bremen,1.72,2.1,1.744186046511628,1.25,4,4,1,1,3,1,1,3,1,2,2
819,1,0,0,1,0,Hertha,Union Berlin,1.9,1.9,1.4782608695652175,1.1333333333333333,12,5,2,2,1,1,1,3,1,0,1
820,0,0,1,1,0,Werder Bremen,Leverkusen,1.66,2.2,0.8421052631578947,2.4096385542168677,3,14,0,1,4,4,1,0,1,2,2
821,0,0,1,0,1,Union Berlin,Bayern Munich,1.44,2.75,0.4666666666666667,5.932203389830509,7,17,1,1,3,5,0,0,0,0,2
822,0,1,0,1,0,FC Koln,Mainz,1.66,2.2,2.108108108108108,1.0,13,5,3,1,1,1,3,1,1,2,2
823,0,0,1,1,0,Ein Frankfurt,M'gladbach,1.72,2.1,1.2413793103448276,1.6,7,10,1,0,4,3,1,1,1,1,3
824,0,1,0,0,1,RB Leipzig,Freiburg,1.57,2.37,4.230769230769231,0.6111111111111112,10,5,2,3,0,1,2,2,1,1,3
825,0,0,1,1,0,Hoffenheim,Hertha,1.72,2.1,1.7142857142857142,1.125,4,10,0,2,3,2,2,1,2,2,1
826,0,1,0,0,1,Fortuna Dusseldorf,Paderborn,1.72,2.1,1.7142857142857142,1.1076923076923078,7,4,1,3,1,0,1,4,0,1,1
827,1,0,0,1,0,Dortmund,Schalke 04,1.66,2.2,2.8866666666666667,0.7216666666666667,13,1,5,0,0,0,2,3,2,1,2
828,0,0,1,1,0,Augsburg,Wolfsburg,1.9,1.9,1.0294117647058825,1.6666666666666665,4,11,0,1,4,3,2,0,0,2,3
829,1,0,0,1,0,M'gladbach,FC Koln,1.5,2.62,2.3255813953488373,0.9523809523809523,11,12,3,1,1,3,0,2,4,0,1
830,0,1,0,0,1,Mainz,Fortuna Dusseldorf,1.57,2.37,1.973684210526316,0.986842105263158,6,8,2,2,1,1,3,1,2,2,1
831,1,0,0,0,1,Bayern Munich,Augsburg,1.2,4.5,9.009009009009008,0.47619047619047616,15,3,4,1,0,0,1,4,3,2,0
832,0,0,1,1,0,M'gladbach,Dortmund,1.53,2.5,1.2580645161290323,1.8139534883720931,11,12,2,2,1,4,0,1,0,0,5
833,0,1,0,0,1,Wolfsburg,RB Leipzig,1.66,2.2,1.0,2.0,10,9,2,3,0,2,3,0,1,2,2
834,0,1,0,0,1,Schalke 04,Hoffenheim,1.66,2.2,1.6363636363636362,1.125,2,4,0,3,2,0,2,3,1,2,2
835,1,0,0,1,0,Leverkusen,Ein Frankfurt,1.53,2.5,2.545454545454546,0.8400000000000001,14,7,4,1,0,1,1,3,3,0,2
836,0,1,0,1,0,Hertha,Werder Bremen,1.9,1.9,1.6666666666666665,1.0294117647058825,8,3,1,2,2,0,1,4,0,4,1
837,1,0,0,1,0,Freiburg,Union Berlin,1.9,1.9,1.4782608695652175,1.096774193548387,5,9,2,1,2,2,1,2,1,0,1
838,0,0,1,1,0,Paderborn,FC Koln,1.53,2.5,1.3333333333333333,1.9047619047619047,5,15,0,1,4,4,0,1,0,2,2
839,0,1,0,0,1,RB Leipzig,Leverkusen,1.44,2.75,3.4722222222222223,0.7692307692307693,11,11,2,3,0,3,1,1,2,2,1
840,0,1,0,1,0,Union Berlin,Wolfsburg,2.1,1.72,1.2213740458015268,1.1851851851851851,8,14,2,1,2,3,2,0,0,1,1
841,1,0,0,1,0,FC Koln,Schalke 04,1.8,2.0,1.6363636363636362,1.1612903225806452,14,1,3,0,2,0,3,2,1,4,0
842,1,0,0,0,1,Mainz,Paderborn,1.5,2.62,2.1857923497267757,1.0,6,6,2,1,2,0,1,4,3,1,0
843,0,0,1,1,0,Hoffenheim,Bayern Munich,1.33,3.4,0.8214285714285714,4.227941176470588,5,16,1,1,3,4,1,0,1,0,4
844,1,0,0,0,1,Dortmund,Freiburg,1.3,3.5,5.833333333333334,0.5384615384615384,15,2,4,0,1,1,1,3,3,2,0
845,0,0,1,1,0,Augsburg,M'gladbach,1.57,2.37,1.1176470588235294,1.853658536585366,5,13,1,1,3,3,2,0,0,1,4
846,0,1,0,1,0,Fortuna Dusseldorf,Hertha,1.9,1.9,1.3924050632911391,1.0999999999999999,8,6,1,3,1,1,2,2,2,1,1
847,0,0,1,1,0,Ein Frankfurt,Union Berlin,1.72,2.1,1.8947368421052633,0.9,9,8,2,1,2,3,0,2,1,0,1
848,1,0,0,1,0,Wolfsburg,Mainz,1.66,2.2,2.2093023255813953,0.7999999999999999,13,5,3,1,1,1,1,3,3,2,0
849,1,0,0,0,1,Leverkusen,Augsburg,1.44,2.75,3.0,0.75,13,3,4,0,1,1,1,3,4,1,0
850,0,0,1,1,0,Schalke 04,RB Leipzig,1.61,2.3,1.05,2.4,1,10,0,3,2,2,2,1,1,1,3
851,0,0,1,0,1,Werder Bremen,Dortmund,1.33,3.4,0.8461538461538461,3.928571428571429,1,19,0,0,5,4,0,1,0,3,2
852,0,1,0,0,1,M'gladbach,Hoffenheim,1.44,2.75,2.484472049689441,0.7619047619047619,10,8,2,2,1,2,1,2,1,4,0
853,0,0,1,1,0,Hertha,FC Koln,1.8,2.0,1.4166666666666667,1.1846689895470381,5,14,2,1,2,3,0,2,3,0,2
854,0,0,1,0,1,Freiburg,Fortuna Dusseldorf,1.8,2.0,2.0,0.95,2,5,1,1,3,1,2,2,2,1,2
855,1,0,0,1,0,Bayern Munich,Paderborn,1.12,6.0,12.38095238095238,0.38235294117647056,15,8,4,1,0,1,1,3,4,0,0
856,0,1,0,0,1,Mainz,Schalke 04,1.72,2.1,1.2142857142857144,1.3599999999999999,6,3,1,1,3,1,3,1,1,1,3
857,0,0,1,1,0,FC Koln,Bayern Munich,1.28,3.75,0.625,6.25,10,16,3,0,2,4,1,0,0,0,5
858,0,0,1,1,0,Fortuna Dusseldorf,M'gladbach,1.66,2.2,0.9523809523809523,2.2222222222222223,3,9,0,2,3,2,2,1,1,0,4
859,0,0,1,1,0,Union Berlin,Leverkusen,1.66,2.2,0.9,1.8947368421052633,7,15,2,0,3,4,0,1,0,0,2
860,1,0,0,1,0,RB Leipzig,Werder Bremen,1.33,3.4,5.833333333333334,0.7,8,2,2,2,1,1,0,4,3,1,1
861,0,0,1,1,0,Paderborn,Hertha,1.72,2.1,1.2727272727272727,1.4285714285714284,7,5,1,1,3,2,1,2,1,0,3
862,0,0,1,1,0,Hoffenheim,Wolfsburg,1.72,2.1,1.5189873417721518,1.254355400696864,8,10,2,0,3,2,1,2,1,2,2
863,0,1,0,0,1,Augsburg,Freiburg,1.66,2.2,1.8,1.0,6,4,1,1,3,2,1,2,1,2,2
864,1,0,0,1,0,Dortmund,Ein Frankfurt,1.36,3.2,3.928571428571429,0.8461538461538461,22,10,4,0,1,3,1,1,3,2,0
865,0,1,0,0,1,Bayern Munich,RB Leipzig,1.28,3.75,3.928571428571429,0.8461538461538461,14,8,4,1,0,2,2,1,1,3,1
866,1,0,0,1,0,Leverkusen,Dortmund,1.4,3.0,1.2580645161290323,1.857142857142857,13,19,4,0,1,3,0,2,1,0,4
867,0,1,0,0,1,Wolfsburg,Fortuna Dusseldorf,1.72,2.1,2.7450980392156863,0.7304347826086957,7,4,1,1,3,1,2,2,2,3,0
868,0,0,1,0,1,Werder Bremen,Union Berlin,1.72,2.1,1.707317073170732,0.9722222222222222,2,6,1,0,4,2,0,3,1,0,1
869,0,1,0,0,1,Schalke 04,Paderborn,1.44,2.75,2.8866666666666667,0.6661538461538462,5,8,1,3,1,2,1,2,3,1,0
870,0,0,1,1,0,Hertha,Mainz,1.66,2.2,1.75,0.9333333333333333,3,6,1,2,2,1,0,4,1,1,3
871,1,0,0,0,1,Freiburg,Hoffenheim,1.57,2.37,1.44,1.3740458015267176,5,8,2,1,2,3,0,2,2,1,2
872,1,0,0,1,0,Ein Frankfurt,Augsburg,1.8,2.0,1.973684210526316,0.986842105263158,11,6,3,1,1,1,0,4,2,0,3
873,0,0,1,1,0,Paderborn,Wolfsburg,1.66,2.2,1.0526315789473684,2.162162162162162,7,7,2,0,3,1,1,3,0,2,2
874,1,0,0,1,0,FC Koln,Freiburg,1.66,2.2,1.75609756097561,1.0285714285714287,13,5,4,0,1,1,1,3,2,0,3
875,0,1,0,1,0,RB Leipzig,M'gladbach,1.44,2.75,3.0,0.782608695652174,11,7,2,2,1,2,2,1,4,1,0
876,0,0,1,1,0,Mainz,Bayern Munich,1.25,4.0,0.625,6.25,8,17,1,0,4,5,0,0,0,0,5
877,1,0,0,1,0,Hoffenheim,Leverkusen,1.53,2.5,1.1874999999999998,1.8095238095238093,10,9,4,0,1,3,0,2,3,1,1
878,0,1,0,0,1,Fortuna Dusseldorf,Ein Frankfurt,1.61,2.3,1.0285714285714287,1.75609756097561,3,8,1,1,3,2,1,2,0,1,4
879,1,0,0,1,0,Dortmund,Union Berlin,1.36,3.2,5.327868852459017,0.5909090909090909,19,4,3,1,1,1,0,4,1,0,1
880,1,0,0,1,0,Augsburg,Werder Bremen,1.57,2.37,1.804878048780488,1.0882352941176472,9,2,2,0,3,1,0,4,1,0,4
881,0,1,0,0,1,Hertha,Schalke 04,2.0,1.8,1.259259259259259,1.3076923076923077,3,5,2,2,1,1,3,1,1,2,2
882,1,0,0,1,0,Leverkusen,Fortuna Dusseldorf,1.44,2.75,3.8602941176470584,0.75,8,2,3,0,2,1,0,4,5,0,0
883,0,0,1,1,0,Werder Bremen,Hoffenheim,1.53,2.5,1.5189873417721518,1.2857142857142858,2,10,1,0,4,3,0,2,1,2,2
884,1,0,0,1,0,Bayern Munich,Schalke 04,1.28,3.75,7.3275862068965525,0.6538461538461539,20,6,5,0,0,2,2,1,5,0,0
885,0,0,1,1,0,Wolfsburg,Hertha,1.9,1.9,2.0833333333333335,0.8660508083140878,5,4,1,1,3,3,1,1,2,2,1
886,1,0,0,0,1,Union Berlin,Augsburg,1.8,2.0,1.75609756097561,1.0588235294117647,5,11,1,1,3,2,0,3,1,1,0
887,1,0,0,1,0,M'gladbach,Mainz,1.36,3.2,3.0,0.6923076923076923,6,7,2,1,2,1,0,4,4,1,0
888,0,0,1,0,1,Freiburg,Paderborn,1.5,2.62,2.4,1.0,5,6,1,1,3,2,1,2,1,1,2
889,1,0,0,0,1,Ein Frankfurt,RB Leipzig,1.4,3.0,1.0825,2.474285714285714,7,12,2,0,3,3,1,1,2,2,1
890,1,0,0,1,0,Dortmund,FC Koln,1.3,3.5,4.6875,0.6666666666666666,18,11,3,1,1,4,0,1,4,1,0
891,0,0,1,1,0,Paderborn,Leverkusen,1.44,2.75,0.9,2.8125,5,7,2,1,2,3,0,2,0,1,3
892,0,0,1,1,0,Hertha,Bayern Munich,1.4,3.0,0.575,4.423076923076923,4,16,2,2,1,4,0,1,1,2,2
893,1,0,0,1,0,RB Leipzig,Union Berlin,1.44,2.75,4.8,0.5454545454545454,15,5,4,1,0,1,1,3,2,0,0
894,0,0,1,1,0,Mainz,Freiburg,1.66,2.2,1.5454545454545452,1.0461538461538462,7,6,1,0,4,2,1,2,3,0,2
895,0,0,1,1,0,Hoffenheim,Ein Frankfurt,1.53,2.5,1.5,1.2857142857142858,8,7,2,0,3,1,1,3,0,1,4
896,0,0,1,0,1,Fortuna Dusseldorf,Werder Bremen,1.66,2.2,1.2727272727272727,1.4,2,2,1,0,4,1,0,4,2,1,2
