,FTR,HomeTeam,AwayTeam,FTHG,FTAG
233,A,St Etienne,Marseille,2.0,4.0
234,A,Montpellier,Brest,1.0,2.0
235,A,Metz,Monaco,1.0,2.0
236,A,Clermont,Nantes,2.0,3.0
237,H,Strasbourg,Lens,1.0,0.0
238,D,Lille,Bordeaux,0.0,0.0
239,D,Nice,Rennes,1.0,1.0
240,H,Marseille,Nice,2.0,1.0
241,D,Reims,Lyon,0.0,0.0
242,H,Rennes,Metz,6.0,1.0
243,D,Lorient,Strasbourg,0.0,0.0
244,A,Bordeaux,Montpellier,0.0,2.0
245,H,Angers,Brest,1.0,0.0
246,H,Monaco,Paris SG,3.0,0.0
247,A,Nantes,Lille,0.0,1.0
248,H,Lens,Clermont,3.0,1.0
249,D,St Etienne,Troyes,1.0,1.0
250,A,Brest,Marseille,1.0,4.0
251,A,Lyon,Rennes,2.0,4.0
252,H,Strasbourg,Monaco,1.0,0.0
253,D,Metz,Lens,0.0,0.0
254,A,Clermont,Lorient,0.0,2.0
255,A,Angers,Reims,0.0,1.0
256,H,Paris SG,Bordeaux,3.0,0.0
257,H,Troyes,Nantes,1.0,0.0
258,D,Montpellier,Nice,0.0,0.0
259,D,Lille,St Etienne,0.0,0.0
260,A,Marseille,Monaco,0.0,1.0
261,H,Lille,Clermont,4.0,0.0
262,H,Rennes,Angers,2.0,0.0
263,D,Reims,Strasbourg,1.0,1.0
264,H,Nantes,Montpellier,2.0,0.0
265,A,Bordeaux,Troyes,0.0,2.0
266,H,St Etienne,Metz,1.0,0.0
267,H,Nice,Paris SG,1.0,0.0
268,A,Lens,Brest,0.0,1.0
269,A,Lorient,Lyon,1.0,4.0
270,A,Lyon,Lille,0.0,1.0
271,D,Troyes,Marseille,1.0,1.0
272,D,Metz,Nantes,0.0,0.0
273,D,Clermont,Bordeaux,1.0,1.0
274,A,Brest,Lorient,0.0,1.0
275,A,Angers,Lens,1.0,2.0
276,A,Monaco,Reims,1.0,2.0
277,H,Paris SG,St Etienne,3.0,1.0
278,D,Strasbourg,Nice,0.0,0.0
279,A,Montpellier,Rennes,2.0,4.0
280,A,Marseille,Clermont,0.0,2.0
281,D,Bordeaux,Monaco,1.0,1.0
282,D,St Etienne,Strasbourg,2.0,2.0
283,H,Rennes,Troyes,4.0,1.0
284,D,Reims,Brest,1.0,1.0
285,A,Lorient,Montpellier,0.0,1.0
286,H,Nice,Angers,1.0,0.0
287,H,Nantes,Paris SG,3.0,1.0
288,D,Lens,Lyon,1.0,1.0
289,D,Lille,Metz,0.0,0.0
290,A,Metz,Marseille,1.0,2.0
291,H,Lens,Bordeaux,3.0,2.0
292,H,Nantes,Reims,1.0,0.0
293,A,Clermont,St Etienne,1.0,2.0
294,H,Brest,Troyes,5.0,1.0
295,A,Angers,Strasbourg,0.0,1.0
296,D,Monaco,Lorient,0.0,0.0
297,H,Lyon,Nice,2.0,0.0
298,A,Montpellier,Lille,0.0,1.0
299,H,Paris SG,Rennes,1.0,0.0
300,A,Lille,Paris SG,1.0,5.0
301,H,Rennes,Brest,2.0,0.0
302,D,Troyes,Metz,0.0,0.0
303,H,Strasbourg,Nantes,1.0,0.0
304,H,Reims,Bordeaux,5.0,0.0
305,A,Nice,Clermont,0.0,1.0
306,H,Lorient,Lens,2.0,0.0
307,H,Monaco,Lyon,2.0,0.0
308,H,St Etienne,Montpellier,3.0,1.0
309,H,Marseille,Angers,5.0,2.0
310,H,Lyon,Marseille,2.0,1.0
311,A,Angers,St Etienne,0.0,1.0
312,H,Paris SG,Reims,4.0,0.0
313,H,Montpellier,Monaco,3.0,2.0
314,H,Nantes,Lorient,4.0,2.0
315,H,Clermont,Rennes,2.0,1.0
316,H,Bordeaux,Strasbourg,4.0,3.0
317,H,Angers,Troyes,2.0,1.0
318,A,Metz,Nice,0.0,2.0
319,A,Lens,Marseille,0.0,2.0
320,H,Brest,Lille,2.0,0.0
321,H,Lyon,St Etienne,1.0,0.0
322,A,Montpellier,Troyes,0.0,1.0
323,H,Lille,Lorient,3.0,1.0
324,A,Clermont,Strasbourg,0.0,2.0
325,D,Marseille,Lille,1.0,1.0
326,A,Troyes,Lyon,0.0,1.0
327,H,Strasbourg,Montpellier,3.0,1.0
328,A,Reims,Metz,0.0,1.0
329,H,Monaco,Clermont,4.0,0.0
330,D,Lorient,Angers,0.0,0.0
331,H,Rennes,Bordeaux,6.0,0.0
332,H,Paris SG,Brest,2.0,0.0
333,A,St Etienne,Lens,1.0,2.0
334,H,Nice,Nantes,2.0,1.0
335,D,Lyon,Paris SG,1.0,1.0
